,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor
666,The ePlane,Aero company,Seed,0,Chennai,Transforming the mobility landscape using aerial transport.,2020,2016.0,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest
667,TagMango,Marketing company,Seed,7000000,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020,2019.0,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin"
668,The New Shop,Retail startup,Seed,5000000,New Delhi,The New Shop is a chain of high speed retail stores,2020,2019.0,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator
669,MobiKwik,FinTech,Seed,70000000,Gurgaon,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2020,2009.0,"Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson"
670,DebugsBunny,EdTech,Seed,1000000,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020,2020.0,Sumit Sanjay Singare,India Angel Fund
671,BHIVE Investech,Co-working Startup,Seed,10000000,Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020,2014.0,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures
672,Rivigo,Logistics,Seed,190000000,Gurgaon,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2020,2014.0,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors"
673,ZipLoan,Finance company,Seed,30000000,New Delhi,ZipLoan is a online lending platform,2020,2015.0,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India"
674,Swipez,FinTech,Seed,0,Pune,Swipez is a payment collection platform.,2020,2014.0,Vivek Iyer,"9Unicorns, Anicut"
675,Humus,AgriTech,Seed,0,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,2020,2019.0,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle."
676,Artivatic.ai,Tech company,Seed,0,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2020,2017.0,Layak Singh,"SenseAI Ventures, Saurabh Chugh"
677,Prescinto,Solar Monitoring Company,Seed,0,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2020,2016.0,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts"
678,Toppeq,SaaS startup,Seed,0,Mumbai,SaaS-based equity management platform,2020,2019.0,Nandini Sankar,
679,Bolo Indya,Video sharing platform,Seed,4000000,Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2020,2019.0,"Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath"
680,Bombay Play,Gaming startup,Seed,10000000,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,2020,2017.0,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India"
681,FreshToHome,E-commerce,Seed,0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,2015.0,Shan Kadavil,Investment Corporation of Dubai (ICD)
682,KIKO TV,Video streaming platform,Seed,0,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,2020,2020.0,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi"
683,Atomberg Technologies,Consumer appliances,Series B,90000000,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020,2012.0,"Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners"
684,DealShare,E-commerce,Series C,210000000,Jaipur,DealShare is a Social Commerce Startup,2020,2018.0,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network"
685,Smallcase,FinTech,Seed,0,Bangalore,Changing how India invests in equities,2020,2015.0,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT"
686,CueMath,EdTech,Series C,400000000,Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2020,2011.0,Manan Khurma,"Sequoia Capital India, CapitalG"
687,Gamerji,Gaming startup,Seed,0,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2020,2018.0,"Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.
688,5C Network,HealthTech,Pre-series A,12000000,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2020,2014.0,Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures"
689,Ethereum Push Notification Service,Blockchain startup,Seed,7500000,Mumbai,EPNS is a decentralized notification protocol,2020,2020.0,"Harsh Rajat, Richa Joshi",Prolific angel investors
690,Mihup,Conversational AI platform,Series A,15000000,Kolkata,Intelligence-based personal mobile assistant app,2020,2016.0,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel"
691,RuralBasket,E-commerce,Seed,5000000,"Tirunelveli, Tamilnadu",Naturally grown and healthy products directly from farmers.,2020,2019.0,Palani Rajan,Nativelead Foundation
692,WayCool Foods,AgriTech,Debt,78000000,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020,2015.0,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank"
693,Infra.Market,Real Estate,Series B,200000000,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020,2016.0,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners"
694,Info Edge Venture,Venture capitalist,Seed,500000000,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",2020,1995.0,Sanjeev Bikhchandani,Lightbox
695,Clovia,E-commerce,Pre-series C,40000000,Noida,Clovia is the online lingerie retailer,2020,2013.0,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital"
696,Codingal,EdTech,Seed,5600000,Bangalore,Coding education platform for K-12 students,2020,2020.0,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator."
697,CRED,Finance company,Series C,800000000,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020,2018.0,Kunal Shah,"General Catalyst, Ribbit Capital"
698,Vistaar Finance,Finance company,Seed,300000000,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2020,2010.0,"Brahmanad, Ramakrishna Nishtala",FMO
699,Let's Dive,SaaS platform,Seed,17000000,Bangalore,A platform for remote employee engagement and building team culture,2020,2020.0,"Nitesh Agrawal, Om Prakash",Surge
700,Habitat,EdTech,Seed,6000000,,"Habitat, a social learning edtech platform for civil service aspirants",2020,2016.0,"Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital"
701,SAWO Labs,SaaS platform,Seed,6000000,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,2020.0,Prabhat Sahu,"StartupXseed Ventures, 100X.VC"
702,Signzy,AI platform,Seed,30000000,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2020,2015.0,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard"
703,KopyKitab,EdTech,Seed,0,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2020,2013.0,"Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand"
704,Kyt,EdTech,Seed,25000000,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020,2020.0,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge
705,Raskik,Fusion beverages,Pre-series A,10000000,,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020,2019.0,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns"
706,GetWork,HR Tech,Pre-seed,400000,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020,2019.0,Rahul Veerwal,India Accelerator
707,Mobile Premier League (MPL),Gaming,Series B,5000000,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners"
708,Pravasirojgar,Job portal,Seed,330000000,,Initiative for blue-collar job workers,2020,2020.0,Sonu Sood,GoodWorker.
709,Omatra Hotels,Hospitality,Seed,0,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020,2017.0,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify
710,Awign,Job portal,Pre-series B,0,Bangalore,Operations and manpower outsourcing startup,2020,2016.0,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M"
711,NewsReach,Digital Media,Seed,15000000,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020,2018.0,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network."
712,Cashfree,FinTech,Series B,350000000,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020,2015.0,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment"
713,Credgenics,FinTech,Pre-series A,30000000,New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures"
714,GeoIQ,AI startup,Seed,3000000,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,2018.0,"Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah"
715,Country Delight,Dairy startup,Series C,250000000,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,2015.0,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners"
716,Quintype,Content management,Series A,35000000,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,2014.0,Chirdeep Shetty,IIFL AMC
717,CARS24,Retail,Series E,2000000000,Haryana,CARS24 is an India-based platform for selling used cars.,2020,2015.0,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings"
718,Astrogate Labs,Spacetech,Seed,0,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,2020,2017.0,,"Venture Catalysts, Speciale Invest"
719,Power Gummies,HealthTech,Bridge,0,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,2018.0,Divij Bajaj,Venture Catalysts
720,Cityflo,Transportation,Series A,70000000,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,2015.0,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient"
721,AlgoBulls,Trading platform,Seed,2000000,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,2019.0,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts
722,Credgenics,FinTech,Pre-series A,30000000,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures"
723,Inntot,Tech company,Seed,0,Kerala,"Inntot Technologies, is a technology driven company.",2020,2014.0,Rajith Nair,Unicorn India Ventures
724,Ensuredit,FinTech,Pre-series A,3000000,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,2019.0,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts
725,Shipsy,AI Company,Series A,60000000,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,2015.0,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners"
726,ERPNext,Tech company,Seed,10000000,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,2008.0,Rushabh Mehta,Rainmatter
727,LightSpeedAI,Photonics startup,Seed,0,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,2020,2019.0,"Rohin Y, PV Ramana","YourNest, growX ventures"
728,Grip Invest,FinTech,Pre-series A,0,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,2020.0,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital
729,Unacademy,EdTech,Seed,0,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020,2015.0,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management"
730,Yellow Classes,EdTech,Pre-series A,13000000,Gurugram,New-age fun-learning platform for kids.,2020,2020.0,"Arpit Mittal, Anshul Gupta",India Quotient
731,Plum,HealthTech,Seed,41000000,Bangalore,High quality health insurance and health benefits,2020,2019.0,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners"
732,STAGE,Entertainment,Seed,10000000,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,2019.0,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts
733,Nykaa,Cosmetics,Seed,0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,2012.0,Falguni Nayar,"Alia Bhatt, Katrina Kaif"
734,Kaagaz Scanner,Scanning app,Seed,5750000,,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,2020.0,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures
735,NIRA,FinTech,Seed,10000000,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,2017.0,"Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars"
736,Prolixr,Skincare startup,Seed,0,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020,2018.0,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj"
737,Byju's,EdTech,Seed,2000000000,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,2011.0,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management"
738,DaMENSCH,E-commerce,Seed,60000000,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020,2018.0,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India"
739,Country Delight,Food and Beverages,Series C,250000000,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,2015.0,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India"
740,SignalX,AI startup,Seed,8000000,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,2018.0,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels"
741,Lancify,EdTech,Seed,3000000,Bangalore,Lancify is building the world's strongest young workforce,2020,2018.0,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator"
742,Krimanshi,Biotechnology company,Seed,6000000,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015.0,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City"
743,Instoried,AI startup,Pre-series A,10000000,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,2018.0,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV"
744,PlayerzPot,Gaming startup,Series A,30000000,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,2015.0,"Yogesh, Mitesh Gangar",
745,Instamojo,FinTech,Seed,0,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020,2012.0,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital"
746,Turtlemint,HealthTech,Seed,300000000,Mumbai,Turtlemint has built Indian personalized insurance platform,2020,2015.0,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator"
747,Arata,E-commerce,Pre-series A,10000000,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,2017.0,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners
748,MPL,Gaming startup,Seed,50000000,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners"
749,True Balance,FinTech,Seed,280000000,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,2014.0,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners"
750,Thrive,FoodTech,Pre-series A,0,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,2020.0,"Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital"
751,Kitchens Centre,Proptech,Pre-series A,0,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,2019.0,Lakshay Jain,"Jonathan Swanson, Ankush Gera"
752,Prescribe,HealthTech,Seed,1000000,Chennai,Provide online services to patients by leveraging WhatsApp.,2020,2019.0,Nived Narayanan,Titan Capital
753,Nepra,CleanTech,Series C,180000000,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,2006.0,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital"
754,inFeedo,SaaS startup,Seed,32000000,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,2013.0,Tanmaya Jain,"Peyush Bansal, Ritesh Malik"
755,Shilpa Sciences,HealthTech,Pre-series A,0,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,2014.0,Ashwin Lal,AngelList India
756,Arzooo,Tech Startup,Seed,0,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020,2016.0,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group"
757,MindTickle,SaaS platform,Debt,1000000000,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,2011.0,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital"
758,Krimanshi,Biotechnology company,Seed,6000000,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015.0,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City"
759,Slice,FinTech,Debt,50000000,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,2016.0,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy"
760,Rapawalk,E-commerce,Seed,3000000,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,2017.0,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati"
761,Oga Fit's,Fitness startup,Pre-series A,0,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,2017.0,Ashish Rawat,9Unicorns
762,LAVAL,Cosmetics,Pre-series A,0,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2020,2016.0,"Shrishti, Prithika",Jazal Group
763,Stride Ventures,Venture capitalist,Seed,800000000,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,2019.0,Ishpreet Gandhi,Small Industries Development Bank of India
764,BlackSoil,FinTech,Seed,100000000,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020,2016.0,Ankur Bansal,
765,Biocon,Healthcare,Seed,150000000,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,1978.0,Kiran Mazumdar-Shaw,Goldman Sachs
766,Clientjoy,SaaS startup,Pre-series A,8000000,Gujarat,Client Management Software For Modern Agencies.,2020,2013.0,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat"
767,Xpressbees,E-commerce,Seed,1000000000,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,2015.0,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital"
768,GalaxyCard,FinTech,Seed,0,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,2017.0,"Amit Kumar, Gunjeet Singh",India Accelerator
769,Wellness Forever,HealthTech,Seed,1000000000,Mumbai,Wellness Forever is the one-stop destination for wellness,2020,2008.0,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group"
770,MoooFarm,AgriTech,Pre-seed,5000000,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,2019.0,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart"
771,BitClass,PaaS startup,Seed,20000000,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,2020.0,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures"
772,Gonuts,Entertainment,Seed,4000000,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,2020.0,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini"
773,Uolo,EdTech,Seed,20000000,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,2013.0,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital"
774,Kirana King,Retail,Pre-series A,9000000,"Jaipur, Rajastan","A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,2014.0,Anup Kumar,Rajasthan Venture Capital Fund
775,Jade Forest,Beverages,Seed,2500000,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,0.0,"Punweet Singh, Shuchir Suri",
776,iKure,HealthTech,Seed,0,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020,2010.0,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal"
777,FrontRow,EdTech,Seed,32000000,Bangalore,"Comprehensive courses, taught by idols.",2020,0.0,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone"
778,Reliance Retail,E-commerce,Seed,100000000,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,2006.0,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC"
779,TUBBR,Social Media,Seed,0,"Frisco, Texas, United States",World's First Personal Social Network,2020,2019.0,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners
780,Ather Energy,Automobiles,Series D,350000000,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020,2013.0,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal
781,Routematic,SaaS startup,Seed,20000000,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,2007.0,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra"
782,LivFin,FinTech,Seed,47000000,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,2017.0,Rakesh Malhotra,"DEG, KFW DEG"
783,Universal Sportsbiz Pvt Ltd,Fashion startup,Seed,0,Bangalore,A fashion startup based in Bengaluru.,2020,2012.0,Anjana Reddy,"Accel, Alteria Capital"
784,Lattu Kids,EdTech,Seed,0,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2020,2017.0,Vivek Bhutyani,Mumbai Angels Network
785,Eggoz,Food & Bevarages,Pre-series A,15000000,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,2016.0,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners"
786,Steradian Semiconductors,Deeptech,Seed,0,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020,2016.0,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.
787,CHARGE+ZONE,EV startup,Pre-series A,30000000,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,2018.0,"Kartikey Hariyani, Pavan Bakeri",Mumbai Angels
788,Stones2milestones,EdTech,Bridge,20000000,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020,2008.0,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao"
789,Udacity,EdTech,Debt,750000000,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,2011.0,"David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann"
790,AjnaLens,AR/VR startup,Bridge,10000000,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,2014.0,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD"
791,Gully Network,E-commerce,Pre-series A,12000000,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,2019.0,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners"
792,TurboHire,Recruitment startup,Seed,10000000,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,2018.0,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures"
793,Traya,HealthTech,Seed,0,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020,0.0,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital"
794,Charcoal Eats,QSR startup,Seed,20000000,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,2015.0,"Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments
795,Mitron TV,Video platform,Seed,0,Bangalore,Mitron is a free short videoplatform for next generation,2020,2020.0,"Shivank Agarwal, Anish Khandelwal",9Unicorns
796,Svami,Food & Bevarages,Seed,8000000,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,2016.0,Sahil Jatana,"Niren Shah, Rukam Capital Trust"
797,Dhurnia,EdTech,Seed,1000000,"Dhingsara, Haryana",Developer of an online learning platform intended for various competitive exam preparations.,2020,2018.0,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital"
798,Expertrons,EdTech,Seed,0,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020,2019.0,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly"
799,Leena AI,AI startup,Seed,80000000,"New York, United States",Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,2015.0,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt"
